"arxiv_category","arxiv_abstract"
"stat.TH","  Many problems in materials science and biology involve particles interacting
with strong, short-ranged bonds, that can break and form on experimental
timescales. Treating such bonds as constraints can significantly speed up
sampling their equilibrium distribution, and there are several methods to
sample probability distributions subject to fixed constraints. We introduce a
Monte Carlo method to handle the case when constraints can break and form. More
generally, the method samples a probability distribution on a stratification: a
collection of manifolds of different dimensions, where the lower-dimensional
manifolds lie on the boundaries of the higher-dimensional manifolds. We show
several applications of the method in polymer physics, self-assembly of
colloids, and volume calculation in high dimensions.
"
"stat.TH","  Popular network models such as the mixed membership and standard stochastic
block model are known to exhibit distinct geometric structure when embedded
into $\mathbb{R}^{d}$ using spectral methods. The resulting point cloud
concentrates around a simplex in the first model, whereas it separates into
clusters in the second. By adopting the formalism of generalised random
dot-product graphs, we demonstrate that both of these models, and different
mixing regimes in the case of mixed membership, may be distinguished by the
persistent homology of the underlying point distribution in the case of
adjacency spectral embedding. Moreover, despite non-identifiability issues, we
show that the persistent homology of the support of the distribution and its
super-level sets can be consistently estimated. As an application of our
consistency results, we provide a topological hypothesis test for
distinguishing the standard and mixed membership stochastic block models.
"
"stat.TH","  Topological statistical theory provides the foundation for a modern
mathematical reformulation of classical statistical theory: Structural
Statistics emphasizes the structural assumptions that accompany distribution
families and the set of structure preserving transformations between them,
given by their statistical morphisms. The resulting language is designed to
integrate complicated structured model spaces like deep-learning models and to
close the gap to topology and differential geometry. To preserve the
compatibility to classical statistics the language comprises corresponding
concepts for standard information criteria like sufficiency and completeness.
"
"stat.TH","  We leverage recent advances in high-dimensional statistics to derive new L2
estimation upper bounds for Lasso and Group Lasso in high-dimensions. For
Lasso, our bounds scale as $(k^*/n) \log(p/k^*)$---$n\times p$ is the size of
the design matrix and $k^*$ the dimension of the ground truth
$\boldsymbol{\beta}^*$---and match the optimal minimax rate. For Group Lasso,
our bounds scale as $(s^*/n) \log\left( G / s^* \right) + m^* / n$---$G$ is the
total number of groups and $m^*$ the number of coefficients in the $s^*$ groups
which contain $\boldsymbol{\beta}^*$---and improve over existing results. We
additionally show that when the signal is strongly group-sparse, Group Lasso is
superior to Lasso.
"
"stat.TH","  This paper deals with the Gaussian and bootstrap approximations to the
distribution of the max statistic in high dimensions. This statistic takes the
form of the maximum over components of the sum of independent random vectors
and its distribution plays a key role in many high-dimensional econometric
problems. Using a novel iterative randomized Lindeberg method, the paper
derives new bounds for the distributional approximation errors. These new
bounds substantially improve upon existing ones and simultaneously allow for a
larger class of bootstrap methods.
"
"stat.TH","  We provide sufficient conditions under which the center-outward distribution
and quantile functions introduced in Chernozhukov et al.~(2017) and
Hallin~(2017) are homeomorphisms, thereby extending a recent result by Figalli
\cite{Fi2}. Our approach relies on Cafarelli's classical regularity theory for
the solutions of the Monge-Amp\`ere equation, but has to deal with difficulties
related with the unboundedness at the origin of the density of the spherical
uniform reference measure. Our conditions are satisfied by probabillities on
Euclidean space with a general (bounded or unbounded) convex support which are
not covered in~\cite{Fi2}. We provide some additional results about
center-outward distribution and quantile functions, including the fact that
quantile sets exhibit some weak form of convexity.
"
"stat.TH","  The first part of this paper is devoted to the decision-theoretic analysis of
random-design linear prediction. It is known that, under boundedness
constraints on the response (and thus on regression coefficients), the minimax
excess risk scales, up to constants, as $\sigma^2 d / n$ in dimension $d$ with
$n$ samples and noise $\sigma^2$. Here, we study the expected excess risk with
respect to the full linear class. We show that the ordinary least squares
estimator is exactly minimax optimal in the well-specified case for every
distribution of covariates. Further, we express the minimax risk in terms of
the distribution of \emph{statistical leverage scores} of individual samples.
We deduce a precise minimax lower bound of $\sigma^2d/(n-d+1)$ for general
covariate distribution, which nearly matches the risk for Gaussian design. We
then obtain nonasymptotic upper bounds on the minimax risk for covariates that
satisfy a ""small ball""-type regularity condition, which scale as
$(1+o(1))\sigma^2d/n$ as $d=o(n)$, both in the well-specified and misspecified
cases.
  Our main technical contribution is the study of the lower tail of the
smallest singular value of empirical covariance matrices around $0$. We
establish a lower bound on this lower tail, valid for any distribution in
dimension $d \geq 2$, together with a matching upper bound under a necessary
regularity condition. Our proof relies on the PAC-Bayesian technique for
controlling empirical processes, and extends an analysis of Oliveira devoted to
a different part of the lower tail. Equivalently, our upper bound shows that
the operator norm of the inverse sample covariance matrix has bounded $L^q$
norm up to $q \asymp n$, and our lower bound implies that this exponent is
unimprovable. Finally, we show that the regularity condition naturally holds
for independent coordinates.
"
"stat.TH","  We introduce a procedure for predictive conditional density estimation under
logarithmic loss, which we call SMP (Sample Minmax Predictor). This estimator
minimizes a new general excess risk bound for supervised statistical learning.
On standard examples, this bound scales as $d/n$ with $d$ the model dimension
and $n$ the sample size, and critically remains valid under model
misspecification. Being an improper (out-of-model) procedure, SMP improves over
within-model estimators such as the maximum likelihood estimator, whose excess
risk degrades under misspecification. Compared to approaches reducing to the
sequential problem, our bounds remove suboptimal $\log n$ factors, addressing
an open problem from Gr\""unwald and Kotlowski for the considered models, and
can handle unbounded classes. For the Gaussian linear model, the predictions
and risk bound of SMP are governed by leverage scores of covariates, nearly
matching the optimal risk in the well-specified case without conditions on the
noise variance or approximation error of the linear model. For logistic
regression, SMP provides a non-Bayesian approach to calibration of
probabilistic predictions relying on virtual samples, and can be computed by
solving two logistic regressions. It achieves a non-asymptotic excess risk of
$O ( (d + B^2R^2)/n )$, where $R$ bounds the norm of features and $B$ that of
the comparison parameter; by contrast, no within-model estimator can achieve
better rate than $\min( {B R}/{\sqrt{n}}, {d e^{BR}}/{n} )$ in general. This
provides a computationally more efficient alternative to Bayesian approaches,
which require approximate posterior sampling, thereby partly answering a
question by Foster et al. (2018).
"
"stat.TH","  Chromy (1979) proposed a unequal probability sampling algorithm, which
enables to select a sample in one pass of the sampling frame only. This is the
default sequential method used in the SURVEYSELECT procedure of the SAS
software. In this article, we study the properties of Chromy sampling. We prove
that the Horvitz-Thompson is asymptotically normally distributed, and give an
explicit expression for the second-order inclusion probabilities. This makes it
possible to estimate the variance unbiasedly for the randomized version of the
method programmed in the SURVEYSELECT procedure.
"
"stat.TH","  Sobol sensitivity indices allow to quantify the respective effects of random
input variables and their combinations on the variance of mathematical model
output. We focus on the problem of Sobol indices estimation via a metamodeling
approach where we replace the true mathematical model with a sample-based
approximation to compute sensitivity indices. We propose a new method for
indices quality control and obtain asymptotic and non-asymptotic risk bounds
for Sobol indices estimates based on a general class of metamodels. Our
analysis is closely connected with the problem of nonparametric function
fitting using the orthogonal system of functions in the random design setting.
It considers the relation between the metamodel quality and the error of the
corresponding estimator for Sobol indices and shows the possibility of fast
convergence rates in the case of noiseless observations. The theoretical
results are complemented with numerical experiments for the approximations
based on multivariate Legendre and Trigonometric polynomials.
"
"stat.TH","  We study efficient algorithms for linear regression and covariance estimation
in the absence of Gaussian assumptions on the underlying distributions of
samples, making assumptions instead about only finitely-many moments. We focus
on how many samples are needed to do estimation and regression with high
accuracy and exponentially-good success probability.
  For covariance estimation, linear regression, and several other problems,
estimators have recently been constructed with sample complexities and rates of
error matching what is possible when the underlying distribution is Gaussian,
but algorithms for these estimators require exponential time. We narrow the gap
between the Gaussian and heavy-tailed settings for polynomial-time estimators
with:
  1. A polynomial-time estimator which takes $n$ samples from a random vector
$X \in R^d$ with covariance $\Sigma$ and produces $\hat{\Sigma}$ such that in
spectral norm $\|\hat{\Sigma} - \Sigma \|_2 \leq \tilde{O}(d^{3/4}/\sqrt{n})$
w.p. $1-2^{-d}$. The information-theoretically optimal error bound is
$\tilde{O}(\sqrt{d/n})$; previous approaches to polynomial-time algorithms were
stuck at $\tilde{O}(d/\sqrt{n})$.
  2. A polynomial-time algorithm which takes $n$ samples $(X_i,Y_i)$ where $Y_i
= \langle u,X_i \rangle + \varepsilon_i$ and produces $\hat{u}$ such that the
loss $\|u - \hat{u}\|^2 \leq O(d/n)$ w.p. $1-2^{-d}$ for any $n \geq d^{3/2}
\log(d)^{O(1)}$. This (information-theoretically optimal) error is achieved by
inefficient algorithms for any $n \gg d$; previous polynomial-time algorithms
suffer loss $\Omega(d^2/n)$ and require $n \gg d^2$.
  Our algorithms use degree-$8$ sum-of-squares semidefinite programs. We offer
preliminary evidence that improving these rates of error in polynomial time is
not possible in the median of means framework our algorithms employ.
"
"stat.TH","  We study the problem of estimating linear response statistics under external
perturbations using time series of unperturbed dynamics. A standard approach to
this estimation problem is to employ the Fluctuation-Dissipation Theory, which
requires the knowledge of the functional form of the underlying unperturbed
density that is not available in general. To overcome this issue, we consider a
nonparametric density estimator formulated by the kernel embedding of
distributions. To avoid the computational expense associated with using radial
type kernels, we consider the ""Mercer-type"" kernels constructed based on the
classical orthogonal bases defined on non-compact domains. While the resulting
representation is analogous to Polynomial Chaos Expansion(PCE), by studying in
the reproducing kernel Hilbert space(RKHS) setting, we establish the uniform
convergence of the estimator. More importantly, the RKHS formulation allows one
to systematically address a practical question of identifying the PCE basis for
a consistent estimation through the decay property of the target functions that
can be quantified using the available data. In terms of the linear response
estimation, our study provides practical conditions for the well-posedness of
not only the estimator but also the well-posedness of the underlying response
statistics. We provide a theoretical guarantee for the convergence of the
estimator to the underlying linear response statistics. Finally, we offer an
error bound for the density estimation that accounts for the Monte-Carlo
averaging over non-i.i.d time series and the biases due to truncation. This
error bound helps understand the feasibility as well as limitation of the
kernel embedding with Mercer-type kernels. Numerically, we verify the
effectiveness of the kernel embedding linear response estimator on two
stochastic dynamics with known, yet, non-trivial equilibrium densities.
"
"stat.TH","  We propose a general method for constructing hypothesis tests and confidence
sets that have finite sample guarantees without regularity conditions. We refer
to such procedures as ""universal."" The method is very simple and is based on a
modified version of the usual likelihood ratio statistic, that we call ""the
split likelihood ratio test"" (split LRT). The method is especially appealing
for irregular statistical models. Canonical examples include mixture models and
models that arise in shape-constrained inference. %mixture models and
shape-constrained models are just two examples. Constructing tests and
confidence sets for such models is notoriously difficult. Typical inference
methods, like the likelihood ratio test, are not useful in these cases because
they have intractable limiting distributions. In contrast, the method we
suggest works for any parametric model and also for some nonparametric models.
The split LRT can also be used with profile likelihoods to deal with nuisance
parameters, and it can also be run sequentially to yield anytime-valid
$p$-values and confidence sequences.
"
"stat.TH","  Determining the precise rank is an important problem in many large-scale
applications with matrix data exploiting low-rank plus noise models. In this
paper, we suggest a universal approach to rank inference via residual
subsampling (RIRS) for testing and estimating rank in a wide family of models,
including many popularly used network models such as the degree corrected mixed
membership model as a special case. Our procedure constructs a test statistic
via subsampling entries of the residual matrix after extracting the spiked
components. The test statistic converges in distribution to the standard normal
under the null hypothesis, and diverges to infinity with asymptotic probability
one under the alternative hypothesis. The effectiveness of RIRS procedure is
justified theoretically, utilizing the asymptotic expansions of eigenvectors
and eigenvalues for large random matrices recently developed in Fan et al.
(2019a) and Fan et al. (2019b). The advantages of the newly suggested procedure
are demonstrated through several simulation and real data examples.
"
"stat.TH","  We analyse correspondence of a text to a simple probabilistic model. The
model assumes that the words are selected independently from an infinite
dictionary. The probability distribution correspond to the Zipf---Mandelbrot
law. We count sequentially the numbers of different words in the text and get
the process of the numbers of different words. Then we estimate
Zipf---Mandelbrot law parameters using the same sequence and construct an
estimate of the expectation of the number of different words in the text. Then
we subtract the corresponding values of the estimate from the sequence and
normalize along the coordinate axes, obtaining a random process on a segment
from 0 to 1. We prove that this process (the empirical text bridge) converges
weakly in the uniform metric on $C (0,1)$ to a centered Gaussian process with
continuous a.s. paths. We develop and implement an algorithm for approximate
calculation of eigenvalues of the covariance function of the limit Gaussian
process, and then an algorithm for calculating the probability distribution of
the integral of the square of this process. We use the algorithm to analyze
uniformity of texts in English, French, Russian and Chinese.
"
"stat.TH","  Confounding matters in almost all observational studies that focus on
causality. In order to eliminate bias caused by connfounders, oftentimes a
substantial number of features need to be collected in the analysis. In this
case, large p small n problem can arise and dimensional reduction technique is
required. However, the traditional variable selection methods which focus on
prediction are problematic in this setting. Throughout this paper, we analyze
this issue in detail and assume the sparsity of confounders which is different
from the previous works. Under this assumption we propose several variable
selection methods based on support intersection to pick out the confounders.
Also we discussed the different approaches for estimation of causal effect and
unconfoundedness test. To aid in our description, finally we provide numerical
simulations to support our claims and compare to common heuristic methods, as
well as applications on real dataset.
"
"stat.TH","  We consider the problem of quickest change detection (QCD) in a signal where
its observations are obtained using a set of actions, and switching from one
action to another comes with a cost. The objective is to design a stopping rule
consisting of a sampling policy to determine the sequence of actions used to
observe the signal and a stopping time to quickly detect for the change,
subject to a constraint on the average observation-switching cost. We divide
the problem into open-loop sampling policies and casual sampling policies. For
open-loop sampling policies, we propose a sampling policy of finite window size
and a generalized likelihood ratio (GLR) Cumulative Sum (CuSum) stopping time
for the QCD problem. We show that the GLR CuSum stopping time is asymptotically
optimal with a properly designed sampling policy and formulate the design of
this sampling policy as a quadratic programming problem. We prove that it is
sufficient to consider policies of window size not more than one when designing
policies of finite window length and propose several algorithms that solve this
optimization problem with theoretical guarantees. For casual policies, we
proposed a 2-threshold stopping time and a casual sampling policy. We present a
method to design the casual sampling policy based on open-loop sampling
policies. Finally, we apply our approach to the problem of QCD of a partially
observed graph signal and empirically demonstrate the performance of our
proposed stopping times.
"
"stat.TH","  We study the asymptotic theory of misspecified models for diffusion processes
with noisy nonsynchronous observations. Unlike with correctly specified models,
the original maximum-likelihood-type estimator has an asymptotic bias under the
misspecified setting and fails to achieve an optimal rate of convergence. To
address this, we consider a new quasi-likelihood function that arrows
constructing a maximum-likelihood-type estimator that achieves the optimal rate
of convergence. Study of misspecified models enables us to apply
machine-learning techniques to the maximum-likelihood approach. With these
techniques, we can efficiently study the microstructure of a stock market by
using rich information of high-frequency data. Neural networks have
particularly good compatibility with the maximum-likelihood approach, so we
will consider an example of using a neural network for simulation studies and
empirical analysis of high-frequency data from the Tokyo Stock Exchange. We
demonstrate that the neural network outperforms polynomial models in volatility
predictions for major stocks in Tokyo Stock Exchange.
"
"stat.TH","  We conduct a theoretical and numerical study of the aliased spectral
densities and inverse operators of Mat\'ern covariance functions on a regular
grid of points. We apply our results to provide clarity on the properties of a
popular approximation based on stochastic partial differential equations; while
others have shown that it can approximate the covariance function well, we find
that it assigns too much power at high frequencies and does not provide
increasingly accurate approximations to the inverse as the grid spacing goes to
zero, except in the one-dimensional exponential covariance case. In a
simulation study, we compare the SPDE approximation toseveral other
approximations on the task of estimating Mat\'ern covariance parameters,
finding that the SPDE approximation overestimates short range spatial
dependence in the zero noise case, but the bias lessens when when noise is
added. In the zero noise case, an sparse approximation that minimizes
Kullback-Leibler divergence has better performance.
"
"stat.TH","  A new Central Limit Theorem (CLT) is developed for random variables of the
form $\xi=z^\top f(z) - \text{div} f(z)$ where $z\sim N(0,I_n)$. The normal
approximation is proved to hold when the squared norm of $f(z)$ dominates the
squared Frobenius norm of $\nabla f(z)$ in expectation.
  Applications of this CLT are given for the asymptotic normality of de-biased
estimators in linear regression with correlated design and convex penalty in
the regime $p/n\to \gamma\in (0,{\infty})$. For the estimation of linear
functions $\langle a_0,\beta\rangle$ of the unknown coefficient vector $\beta$,
this analysis leads to asymptotic normality of the de-biased estimate for most
normalized directions $a_0$, where ""most"" is quantified in a precise sense.
This asymptotic normality holds for any coercive convex penalty if $\gamma<1$
and for any strongly convex penalty if $\gamma\ge 1$. In particular the penalty
needs not be separable or permutation invariant. For the group Lasso, a simple
condition is given that grants asymptotic normality for a fixed direction
$a_0$. By allowing arbitrary regularizers, the results vastly broaden the scope
of applicability of de-biasing methodologies to obtain confidence intervals in
high-dimensions.
  In the absence of strong convexity for p > n, asymptotic normality of the
de-biased estimate is obtained under additional conditions that are naturally
satisfied by the Lasso and the group Lasso.
"
"stat.TH","  We address a fundamental issue in the nonparametric inference for systems of
interacting particles: the identifiability of the interaction functions. We
prove that the interaction functions are identifiable for a class of
first-order stochastic systems, including linear systems with general initial
laws and nonlinear systems with stationary distributions. We show that a
coercivity condition is sufficient for identifiability and becomes necessary
when the number of particles approaches infinity. The coercivity is equivalent
to the strict positivity of related integral operators, which we prove by
showing that their integral kernels are strictly positive definite by using
M\""untz type theorems.
"
"stat.TH","  Distance correlation has gained much recent attention in the data science
community: the sample statistic is straightforward to compute and
asymptotically equals zero if and only if independence, making it an ideal
choice to test any type of dependency structure given sufficient sample size.
One major bottleneck is the testing process: because the null distribution of
distance correlation depends on the underlying random variables and metric
choice, it typically requires a permutation test to estimate the null and
compute the p-value, which is very costly for large amount of data. To overcome
the difficulty, we propose a centered chi-square distribution, demonstrate it
well-approximates the limiting null distribution of unbiased distance
correlation, and prove upper tail dominance and distribution bound. The
resulting distance correlation chi-square test is a nonparametric test for
independence, is valid and universally consistent using any strong negative
type metric or characteristic kernel, enjoys a similar finite-sample testing
power as the standard permutation test, is provably most powerful among all
valid tests of distance correlation using known distributions, and is also
applicable to K-sample and partial testing.
"
"stat.TH","  Many objects of interest can be expressed as a linear, mean square continuous
functional of a least squares projection (regression). Often the regression may
be high dimensional, depending on many variables. This paper gives minimal
conditions for root-n consistent and efficient estimation of such objects when
the regression and the Riesz representer of the functional are approximately
sparse and the sum of the absolute value of the coefficients is bounded. The
approximately sparse functions we consider are those where an approximation by
some $t$ regressors has root mean square error less than or equal to
$Ct^{-\xi}$ for $C,$ $\xi>0.$ We show that a necessary condition for efficient
estimation is that the sparse approximation rate $\xi_{1}$ for the regression
and the rate $\xi_{2}$ for the Riesz representer satisfy $\max\{\xi_{1}
,\xi_{2}\}>1/2.$ This condition is stronger than the corresponding condition
$\xi_{1}+\xi_{2}>1/2$ for Holder classes of functions. We also show that Lasso
based, cross-fit, debiased machine learning estimators are asymptotically
efficient under these conditions. In addition we show efficiency of an
estimator without cross-fitting when the functional depends on the regressors
and the regression sparse approximation rate satisfies $\xi_{1}>1/2$.
"
"stat.TH","  We show that the problem of finding the measure supported on a compact subset
K of the complex plane such that the variance of the least squares predictor by
polynomials of degree at most n at a point exterior to K is a minimum, is
equivalent to the problem of finding the polynomial of degree at most n,
bounded by 1 on K with extremal growth at this external point. We use this to
find the polynomials of extremal growth for the interval [-1,1] at a purely
imaginary point. The related problem on the extremal growth of real polynomials
was studied by Erd\H{o}s in 1947.
"
"stat.TH","  Bayesian methods are actively used for parameter identification and
uncertainty quantification when solving nonlinear inverse problems with random
noise. However, there are only few theoretical results justifying the Bayesian
approach. Recent papers, see e.g. \cite{Nickl2017,lu2017bernsteinvon} and
references therein, illustrate the main difficulties and challenges in studying
the properties of the posterior distribution in the nonparametric setup. This
paper offers a new approach for study the frequentist properties of the
nonparametric Bayes procedures. The idea of the approach is to relax the
nonlinear structural equation by introducing an auxiliary functional parameter
and replacing the structural equation with a penalty and by imposing a prior on
the auxiliary parameter. For the such extended model, we state sharp bounds on
posterior concentration and on the accuracy of the penalized MLE and on
Gaussian approximation of the posterior, and a number of further results. All
the bounds are given in terms of effective dimension, and we show that the
proposed calming device does not significantly affect this value.
"
"stat.TH","  We consider the variance of a function of $n$ independent random variables
and provide new inequalities which, in particular, extend previous results
obtained for symmetric functions in the i.i.d.~setting. For instance, we obtain
various upper and lower variance bounds based on iterated jackknives statistics
that can be considered as generalizations of the Efron-Stein inequality.
"
"stat.TH","  Parameter inference of dynamical systems is a challenging task faced by many
researchers and practitioners across various fields. In many applications, it
is common that only limited variables are observable. In this paper, we propose
a method for parameter inference of a system of nonlinear coupled ODEs with
partial observations. Our method combines fast Gaussian process based gradient
matching (FGPGM) and deterministic optimization algorithms. By using initial
values obtained by Bayesian steps with low sampling numbers, our deterministic
optimization algorithm is both accurate and efficient.
"
"stat.TH","  It is known that describing or calculating the conditional probabilities of
multiple events is exponentially expensive. In this work, Bayesian tensor
network (BTN) is proposed to efficiently capture the conditional probabilities
of multiple sets of events with polynomial complexity. BTN is a directed
acyclic graphical model that forms a subset of TN. To testify its validity for
exponentially many events, BTN is implemented to the image recognition, where
the classification is mapped to capturing the conditional probabilities in an
exponentially large sample space. Competitive performance is achieved by the
BTN with simple tree network structures. Analogous to the tensor network
simulations of quantum systems, the validity of the simple-tree BTN implies an
``area law'' of fluctuations in image recognition problems.
"
"stat.TH","  Forecasting the evolution of complex systems is one of the grand challenges
of modern data science. The fundamental difficulty lies in understanding the
structure of the observed stochastic process. In this paper, we show that every
uniformly-positive-definite-in-covariance and sufficiently short-range
dependent non-stationary and nonlinear time series can be well approximated
globally by an auto-regressive process of slowly diverging order. When linear
prediction with ${\cal L}^2$ loss is concerned, the latter result facilitates a
unified globally-optimal short-term forecasting theory for a wide class of
locally stationary time series asymptotically. A nonparametric sieve method is
proposed to globally and adaptively estimate the optimal forecasting
coefficient functions and the associated mean squared error of forecast. An
adaptive stability test is proposed to check whether the optimal forecasting
coefficients are time-varying, a frequently-encountered question for
practitioners and researchers of time series. Furthermore, partial
auto-correlation functions (PACF) of general non-stationary time series are
studied and used as a visual tool to explore the linear dependence structure of
such series. We use extensive numerical simulations and two real data examples
to illustrate the usefulness of our results.
"
"stat.TH","  We consider the linear regression problem of estimating a $p$-dimensional
vector $\beta$ from $n$ observations $Y = X \beta + W$, where $\beta_j
\stackrel{\text{i.i.d.}}{\sim} \pi$ for a real-valued distribution $\pi$ with
zero mean and unit variance, $X_{ij} \stackrel{\text{i.i.d.}}{\sim}
\mathcal{N}(0,1)$, and $W_i\stackrel{\text{i.i.d.}}{\sim} \mathcal{N}(0,
\sigma^2)$. In the asymptotic regime where $n/p \to \delta$ and $ p/ \sigma^2
\to \mathsf{snr}$ for two fixed constants $\delta, \mathsf{snr}\in (0, \infty)$
as $p \to \infty$, the limiting (normalized) minimum mean-squared error (MMSE)
has been characterized by the MMSE of an associated single-letter (additive
Gaussian scalar) channel.
  In this paper, we show that if the MMSE function of the single-letter channel
converges to a step function, then the limiting MMSE of estimating $\beta$ in
the linear regression problem converges to a step function which jumps from $1$
to $0$ at a critical threshold. Moreover, we establish that the limiting
mean-squared error of the (MSE-optimal) approximate message passing algorithm
also converges to a step function with a larger threshold, providing evidence
for the presence of a computational-statistical gap between the two thresholds.
"
"stat.TH","  Due to the recent advancements in wearables and sensing technology, health
scientists are increasingly developing mobile health (mHealth) interventions.
In mHealth interventions, mobile devices are used to deliver treatment to
individuals as they go about their daily lives. These treatments are generally
designed to impact a near time, proximal outcome such as stress or physical
activity. The mHealth intervention policies, often called just-in-time adaptive
interventions, are decision rules that map an individual's current state (e.g.,
individual's past behaviors as well as current observations of time, location,
social activity, stress and urges to smoke) to a particular treatment at each
of many time points. The vast majority of current mHealth interventions deploy
expert-derived policies. In this paper, we provide an approach for conducting
inference about the performance of one or more such policies using historical
data collected under a possibly different policy. Our measure of performance is
the average of proximal outcomes over a long time period should the particular
mHealth policy be followed. We provide an estimator as well as confidence
intervals. This work is motivated by HeartSteps, an mHealth physical activity
intervention.
"
"stat.TH","  A model-free bootstrap procedure for a general class of stationary time
series is introduced. The theoretical framework is established, showing
asymptotic validity of bootstrap confidence intervals for many statistics of
interest. In addition, asymptotic validity of one-step ahead bootstrap
prediction intervals is also demonstrated. Finite-sample experiments are
conducted to empirically confirm the performance of the new method, and to
compare with
  popular methods such as the block bootstrap and the autoregressive (AR)-sieve
bootstrap.
"
"stat.TH","  We consider the issue of biases in scholarly research, specifically, in peer
review. There is a long standing debate on whether exposing author identities
to reviewers induces biases against certain groups, and our focus is on
designing tests to detect the presence of such biases. Our starting point is a
remarkable recent work by Tomkins, Zhang and Heavlin which conducted a
controlled, large-scale experiment to investigate existence of biases in the
peer reviewing of the WSDM conference. We present two sets of results in this
paper. The first set of results is negative, and pertains to the statistical
tests and the experimental setup used in the work of Tomkins et al. We show
that the test employed therein does not guarantee control over false alarm
probability and under correlations between relevant variables coupled with any
of the following conditions, with high probability, can declare a presence of
bias when it is in fact absent: (a) measurement error, (b) model mismatch, (c)
reviewer calibration. Moreover, we show that the setup of their experiment may
itself inflate false alarm probability if (d) bidding is performed in non-blind
manner or (e) popular reviewer assignment procedure is employed. Our second set
of results is positive and is built around a novel approach to testing for
biases that we propose. We present a general framework for testing for biases
in (single vs. double blind) peer review. We then design hypothesis tests that
under minimal assumptions guarantee control over false alarm probability and
non-trivial power even under conditions (a)--(c) as well as propose an
alternative experimental setup which mitigates issues (d) and (e). Finally, we
show that no statistical test can improve over the non-parametric tests we
consider in terms of the assumptions required to control for the false alarm
probability.
"
"stat.TH","  A Poisson mixture is one of the practically important models in computer
science, biology, and sociology. However, the theoretical property has not been
studied because the posterior distribution can not be approximated by any
normal distribution. Such a model is called singular and it is known that Real
Log Canonical Threshold (RLCT) is equal to the coefficient of the
asymptotically main term of the Bayesian generalization error. In this paper,
we derive RLCT of a simplex Vandermonde matrix type singularity which is equal
to that of a Poisson mixture in general cases.
"
"stat.TH","  The topic of this paper is multiple hypothesis testing based on e-values,
which are Bayes factors stripped of their Bayesian content. Using e-values
instead of p-values, which are standard in this area, leads to simple and
efficient procedures that control the number of false discoveries under
arbitrary dependence of the base e-values. We prove an optimality result for
our main procedure and demonstrate advantages of our methods over standard
methods using simulated and real-world datasets.
"
"stat.TH","  This paper presents compact notations for concentration inequalities and
convenient results to streamline probabilistic analysis. The new expressions
describe the typical sizes and tails of random variables, allowing for simple
operations without heavy use of inessential constants. They bridge classical
asymptotic notations and modern non-asymptotic tail bounds together. Examples
of different kinds demonstrate their efficacy.
"
"stat.TH","  For sequentially observed functional data exhibiting multiple change points
in the mean function, we establish consistency results for the estimated number
and locations of the change points based on the norm of the functional CUSUM
process and standard binary segmentation. In addition to extending similar
results in Venkatraman (1992) and Fryzlewicz (2014) for scalar data to the
general Hilbert space setting, our main results are established without
assuming the Gaussianity of the data, and under general linear process
conditions on the model errors.
"
"stat.TH","  Kernel ridge regression is an important nonparametric method for estimating
smooth functions. We introduce a new set of conditions, under which the actual
rates of convergence of the kernel ridge regression estimator under both the
L_2 norm and the norm of the reproducing kernel Hilbert space exceed the
standard minimax rates. An application of this theory leads to a new
understanding of the Kennedy-O'Hagan approach for calibrating model parameters
of computer simulation. We prove that, under certain conditions, the
Kennedy-O'Hagan calibration estimator with a known covariance function
converges to the minimizer of the norm of the residual function in the
reproducing kernel Hilbert space.
"
"stat.TH","  Topological Data Analysis (TDA) has become a promising tool to uncover
low-dimensional features from high-dimensional data. Notwithstanding the
advantages afforded by TDA, its adoption in statistical methodology has been
limited by several reasons. In this paper we study the framework of topological
inference through the lens of classical parametric inference in statistics.
Suppose $\mathcal{P} = \{\mathbb{P}_\theta : \theta \in \Theta\}$ is a
parametric family of distributions indexed by a set $\Theta$, and $\mathbb{X}_n
= \{\mathbf{X}_1, \mathbf{X}_2, \dots, \mathbf{X}_n\}$ is observed iid at
random from a distribution $\mathbb{P}_\theta$. The asymptotic behaviour of the
Betti numbers associated with the \v{C}ech complex of $\mathbb{X}_n$ contain
both the topological and parametric information about the distribution of
points. We investigate necessary and sufficient conditions under which
topological inference is possible in this parametric setup.
"
"stat.TH","  The goal of this study was to test the equality of two covariance matrices by
using modified Pillai's trace statistics under a high-dimensional framework,
i.e., the dimension and sample sizes go to infinity proportionally. In this
paper, we introduce two modified Pillai's trace statistics and obtain their
asymptotic distributions under the null hypothesis. The benefits of the
proposed statistics include the following: (1) the sample size can be smaller
than the dimensions; (2) the limiting distributions of the proposed statistics
are universal; and (3) we do not restrict the structure of the population
covariance matrices. The theoretical results are established under mild and
practical assumptions, and their properties are demonstrated numerically by
simulations and a real data analysis.
"
"stat.TH","  We develop an estimator for the high-dimensional covariance matrix of a
locally stationary process with a smoothly varying trend and use this statistic
to derive consistent predictors in non-stationary time series. In contrast to
the currently available methods for this problem the predictor developed here
does not rely on fitting an autoregressive model and does not require a
vanishing trend. The finite sample properties of the new methodology are
illustrated by means of a simulation study and a financial indices study.
"
